Player,ADP,Position
Elijah Moore,317.0,WR
Jameis Winston,318.0,QB
Parker Romo,319.0,K
Jakeem Grant Sr.,320.0,WR
DeWayne McBride,320.0,RB
Jarquez Hunter,320.7,RB
Jalen Guyton,322.0,WR
Harrison Mevis,323.0,K
Zamir White,323.0,RB
John Stephens Jr.,323.0,WR
Ty Johnson,325.0,RB
John Lovett,325.0,QB
Will Howard,325.5,QB
Odell Beckham Jr.,326.5,WR
Josh Oliver,328.0,TE
Tyree Mayfield,328.0,TE
Dameon Pierce,328.5,RB
Tanner McKee,329.5,QB
Mack Hollins,329.5,WR
Jake Bobo,331.5,WR
Julian Hill,331.5,TE
Jermar Jefferson,334.5,RB
Deshaun Watson,334.5,QB
Luke Schoonmaker,334.5,TE
Roman Wilson,335.3,WR
Carson Steele,335.5,RB
Michael Mayer,336.3,TE
Julio Jones,340.0,WR
Max Duggan,341.0,QB
Ty Chandler,341.5,RB
Kayshon Boutte,341.7,WR
Audric Estime,341.7,RB
Ja'Corey Brooks,343.0,WR
Devin Neal,345.3,RB
Joshua Dobbs,345.5,QB
Kalif Raymond,346.5,WR
Quinn Ewers,347.0,QB
J.J. Taylor,348.5,RB
Jordan Whittington,349.0,WR
Mason Rudolph,350.0,QB
Demarcus Robinson,350.0,WR
Donovan Peoples-Jones,352.0,WR
Theo Johnson,352.7,TE
Craig Reynolds,353.0,RB
Spencer Rattler,353.5,QB
Elijah Higgins,354.5,TE
Robert Woods,355.5,WR
Adam Trautman,356.0,TE
Leonard Fournette,356.0,RB
John Ross,357.0,WR
Harold Fannin Jr.,358.0,TE
LaJohntay Wester,359.5,WR
Matthew Wright,359.5,K
Ben Sinnott,361.5,TE
Mecole Hardman Jr.,363.0,WR
Noah Brown,363.0,WR
Deuce Vaughn,365.5,RB
KeAndre Lambert-Smith,366.0,WR
Malik Willis,367.0,QB
Sterling Shepard,367.0,WR
Greg Joseph,367.5,K
Andy Dalton,369.0,QB
Oronde Gadsden II,370.0,TE
Devaughn Vele,370.0,WR
Trey Lance,372.0,QB
Robbie Chosen,372.0,WR
Jude McAtamney,373.5,K
Hendon Hooker,373.5,QB
Mac Jones,375.5,QB
Ainias Smith,376.0,WR
Tommy DeVito,379.0,QB
Justin Watson,382.0,WR
Mitchell Trubisky,383.0,QB
Olamide Zaccheaus,383.0,WR
Darrell Henderson Jr.,386.0,RB
Clyde Edwards-Helaire,386.0,RB
Drew Lock,387.5,QB
Kadarius Toney,388.5,WR
Parker Washington,390.0,WR
Tylan Wallace,390.5,WR
Jermaine Burton,391.0,WR
Connor Heyward,391.5,TE
Curtis Samuel,392.0,WR
E.J. Jenkins,392.0,TE
Daniel Bellinger,392.5,TE
Brett Maher,394.0,K
Cooper Rush,395.0,QB
Jimmy Garoppolo,395.5,QB
Jalin Hyatt,396.5,WR
Mo Alie-Cox,396.5,TE
Carson Wentz,398.5,QB
Tommy Tremble,399.0,TE
C.J. Ham,400.0,RB
Xavier Restrepo,400.3,WR
Lil'Jordan Humphrey,400.5,WR
Jaren Hall,402.0,QB
Damien Martinez,403.5,RB
Jamari Thrash,404.0,WR
Kendrick Bourne,404.5,WR
David Moore,405.0,WR
Jermaine Jackson,405.0,WR
Tez Johnson,405.5,WR
Jarrett Stidham,406.0,QB
Jacob Kibodi,406.0,RB
D.J. Montgomery,407.5,WR
Patrick Ricard,409.0,RB
Michael Badgley,410.0,K
Equanimeous St. Brown,410.5,WR
Greg Dortch,412.0,WR
Austin Seibert,413.0,K
Darrynton Evans,414.0,RB
Van Jefferson,415.0,WR
Drew Sample,417.5,TE
Jaylin Lane,418.0,WR
Damien Harris,418.0,RB
Tyler Goodson,421.0,RB
Hassan Haskins,422.0,RB
Tai Felton,424.0,WR
John Metchie III,424.0,WR
Sincere McCormick,425.0,RB
Cade York,425.5,K
Khalil Herbert,426.0,RB
Marcus Mariota,426.0,QB
Anders Carlson,427.0,K
Aidan O'Connell,428.0,QB
Hunter Luepke,429.0,RB
Chris Brooks,430.0,RB
Zane Gonzalez,431.0,K
Jeremy McNichols,431.0,RB
Jacob Cowing,431.0,WR
Eddy Pineiro,433.0,K
Frank Gore Jr.,433.5,RB
Lenny Krieg,434.0,K
Cam Akers,435.0,RB
Randy Bullock,438.0,K
Michael Burton,438.0,RB
Jonathon Brooks,439.0,RB
Greg Zuerlein,439.5,K
Raheem Blackshear,440.0,RB
Tanner Brown,440.0,K
Julius Chestnut,440.5,RB
Henry Pearson,441.0,RB
Sione Vaki,443.5,RB
Colby Parkinson,446.0,TE
Brevin Jordan,447.0,TE
Aaron Shampklin,447.0,RB
Trey Sermon,449.0,RB
Tyler Badie,451.0,RB
Melvin Gordon,452.0,RB
Kenny Pickett,453.0,QB
Tyrion Davis-Price,454.0,RB
Israel Abanikanda,455.0,RB
George Holani,455.5,RB
Trey Palmer,456.0,WR
Josh Whyle,456.0,TE
Teddy Bridgewater,456.5,QB
Ben Sauls,457.0,K
Ryan Tannehill,458.0,QB
Nathan Peterman,459.0,QB
Brayden Narveson,460.0,K
KhaDarel Hodge,460.5,WR
Travis Homer,463.5,RB
Nate Adkins,464.0,TE
Cordarrelle Patterson,466.0,RB
Mitch Van Vooren,466.0,WR
Kenyan Drake,467.0,RB
Rasheen Ali,467.0,RB
Dorian Thompson-Robinson,467.5,QB
Patrick Taylor Jr.,469.0,RB
Jimmy Graham,469.0,TE
Ryan Flournoy,469.0,WR
Davis Allen,469.5,TE
Riley Leonard,470.0,QB
Malik Washington,471.0,WR
Savion Williams,472.0,WR
Lucky Jackson,472.0,WR
Charlie Smyth,472.0,K
Josh Johnson,473.0,QB
Anthony Brown Jr.,473.0,QB
Kimani Vidal,473.0,RB
Jack Stoll,473.5,TE
Desmond Ridder,474.0,QB
Kendall Milton,474.0,RB
Matt Ammendola,476.0,K
Jonathan Kim,477.0,K
Matt Prater,479.0,K
Matt Corral,479.0,QB
Jalen White,479.0,RB
Skyy Moore,479.5,WR
Taylor Heinicke,484.0,QB
Zach Wilson,485.0,QB
Jacoby Brissett,486.0,QB
Brandon Allen,488.0,QB
Gunner Olszewski,488.0,WR
Jamaal Williams,489.0,RB
Dare Ogunbowale,490.0,RB
Michael Gallup,491.0,WR
Cade Stover,491.5,TE
Charlie Kolar,492.0,TE
Dante Pettis,492.0,WR
Ian Thomas,495.0,TE
Christopher Dunn,495.0,K
SaRodorick Thompson Jr.,496.0,RB
Foster Moreau,497.0,TE
Riley Patterson,499.0,K
Isaiah Hodgins,499.0,WR
Armani Rogers,499.0,TE
Jake Browning,500.0,QB
Giovanni Ricci,500.0,TE
Harrison Bryant,501.0,TE
Erick All Jr.,502.0,TE
Jonathan Ward,502.0,RB
Mark McNamee,503.0,K
Gardner Minshew II,504.0,QB
Ryan Coe,504.0,K
Tim Jones,505.0,WR
Kenny Yeboah,506.0,TE
John Bates,506.5,TE
Kylen Granson,508.0,TE
Luke Farrell,509.0,TE
Ben Skowronek,510.0,WR
Caden Davis,510.5,K
Stetson Bennett IV,511.0,QB
Jaret Patterson,512.0,RB
Scotty Miller,513.0,WR
Kyle Allen,515.5,QB
Skylar Thompson,516.0,QB
Jalen Reagor,517.0,WR
Tyquan Thornton,517.0,WR
Tanner Hudson,517.5,TE
Sam Howell,518.0,QB
Avery Williams,519.0,RB
Kevin Austin Jr.,519.0,WR
Johnny Wilson,520.0,WR
Stone Smartt,520.0,TE
Justin Shorter,522.0,WR
Keith Kirkwood,522.5,WR
Zach Pascal,523.0,WR
Jonathan Mingo,523.0,WR
Tom Kennedy,523.5,WR
Terrace Marshall Jr.,524.0,WR
Tyson Bagent,525.0,QB
Xavier Hutchinson,526.0,WR
Derius Davis,527.0,WR
Donovan Edwards,527.5,RB
Payne Durham,528.0,TE
Devontez Walker,528.5,WR
Chris Rodriguez Jr.,529.0,RB
Jordan Mims,530.0,RB
Emari Demercado,531.0,RB
Winston Wright,532.0,WR
Malik Knowles,533.0,WR
Ryan Miller,534.0,WR
Efton Chism III,534.5,WR
Devin Duvernay,535.0,WR
Caden Prieskorn,535.0,TE
Darius Cooper,537.0,WR
Charlie Jones,537.5,WR
Jaheim Bell,539.0,TE
Ja'Lynn Polk,540.0,WR
Isaiah Davis,541.0,RB
Blake Watson,542.0,RB
Davis Mills,543.0,QB
Jabari Small,543.0,RB
Terique Owens,544.0,WR
Terrell Jennings,545.0,RB
Dillon Gabriel,546.0,QB
Brady Russell,546.5,TE
Phil Mafah,547.0,RB
Patrick Herbert,550.0,TE
Charlie Woerner,551.0,TE
Tre Watson,551.0,TE
Sam Ehlinger,552.0,QB
Cam Miller,553.0,QB
Isaiah Neyor,555.5,WR
Tyrod Taylor,556.0,QB
Drew Ogletree,560.0,TE
Nelson Agholor,560.0,WR
DeAndre Carter,561.0,WR
Laquon Treadwell,562.0,WR
Zay Jones,563.0,WR
Cornelius Johnson,563.5,WR
Eric Saubert,564.0,TE
Josh Reynolds,565.0,WR
Gavin Bartholomew,566.0,TE
Jamal Agnew,566.0,WR
Johnny Mundt,567.0,TE
Nick Mullens,569.0,QB
Pharaoh Brown,570.0,TE
Hayden Hurst,571.0,TE
Andy Isabella,571.5,WR
Kyle McCord,571.5,QB
John Kelly Jr.,572.0,RB
Anthony Miller,573.0,WR
Durham Smythe,574.0,TE
Jeff Wilson Jr.,575.0,RB
Gunnar Helm,575.5,TE
Ross Dwelley,576.0,TE
Braxton Berrios,577.0,WR
Louis Rees-Zammit,578.0,RB
Alec Ingold,580.0,RB
Mitchell Evans,581.5,TE
DJ Chark Jr.,582.0,WR
Kelvin Harmon,582.0,WR
Trayveon Williams,583.0,RB
Miles Boykin,584.0,WR
Ashton Dulin,586.0,WR
Amar Johnson,586.5,RB
Phillip Dorsett II,587.0,WR
Irv Smith Jr.,587.0,TE
Jakob Johnson,590.0,RB
Trenton Irwin,591.0,WR
Malik Taylor,592.0,WR
Steven Sims Jr.,593.0,WR
Jared Wiley,593.5,TE
Jordan Watkins,595.0,WR
Tyler Huntley,597.0,QB
James Proche II,598.0,WR
Bub Means,598.5,WR
Sean McKeon,599.0,TE
Nick Kallerup,601.0,TE
Quintez Cephus,602.0,WR
Jeremy Ruckert,602.5,TE
Cody White,603.0,WR
Trishton Jackson,604.0,WR
K.J. Osborn,605.0,WR
Laviska Shenault Jr.,605.5,WR
JaMycal Hasty,607.0,RB
DeeJay Dallas,609.0,RB
Dominic Lovett,610.0,WR
Tyler Johnson,610.0,WR
Mason Kinsey,611.0,WR
Tommy Mellott,611.5,QB
JJ Galbreath,612.0,TE
Dallin Holker,612.5,TE
Tarik Black,613.0,WR
Demetric Felton Jr.,616.0,RB
Dez Fitzpatrick,617.0,WR
Tyler Scott,617.5,WR
Zach Davidson,620.0,TE
Kawaan Baker,621.0,WR
Gary Brightwell,622.0,RB
Michael Carter,623.0,RB
Kyle Trask,625.0,QB
Ihmir Smith-Marsette,625.5,WR
